date,comunidad,total
2022-04-01,Comunidad Valenciana,817
2022-01-01,Comunidad Valenciana,747
2021-10-01,Comunidad Valenciana,793
2021-07-01,Comunidad Valenciana,590
2021-04-01,Comunidad Valenciana,762
2021-01-01,Comunidad Valenciana,733
2020-10-01,Comunidad Valenciana,854
2020-07-01,Comunidad Valenciana,470
2020-04-01,Comunidad Valenciana,208
2020-01-01,Comunidad Valenciana,377
2019-10-01,Comunidad Valenciana,327
2019-07-01,Comunidad Valenciana,243
2019-04-01,Comunidad Valenciana,287
2019-01-01,Comunidad Valenciana,338
2018-10-01,Comunidad Valenciana,365
2018-07-01,Comunidad Valenciana,250
2018-04-01,Comunidad Valenciana,428
2018-01-01,Comunidad Valenciana,431
2017-10-01,Comunidad Valenciana,501
2017-07-01,Comunidad Valenciana,280
2017-04-01,Comunidad Valenciana,555
2017-01-01,Comunidad Valenciana,811
2016-10-01,Comunidad Valenciana,946
2016-07-01,Comunidad Valenciana,986
2016-04-01,Comunidad Valenciana,1284
2016-01-01,Comunidad Valenciana,1232
2015-10-01,Comunidad Valenciana,1617
2015-07-01,Comunidad Valenciana,1558
2015-04-01,Comunidad Valenciana,2224
2015-01-01,Comunidad Valenciana,2060
2014-10-01,Comunidad Valenciana,2151
2014-07-01,Comunidad Valenciana,1732
2014-04-01,Comunidad Valenciana,2337
2014-01-01,Comunidad Valenciana,1988
